message;severity;node;stamp;location
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=5.064484])";"30";"turtlesim2.sim";"1759169031.040173428";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=5.036058])";"30";"turtlesim1.sim";"1759169031.038232595";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=5.121334])";"30";"turtlesim3.sim";"1759169031.036118511";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=5.092909])";"30";"turtlesim2.sim";"1759169031.024130011";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=5.064484])";"30";"turtlesim1.sim";"1759169031.021191886";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=5.149759])";"30";"turtlesim3.sim";"1759169031.020323803";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=5.121334])";"30";"turtlesim2.sim";"1759169031.008126220";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=5.092909])";"30";"turtlesim1.sim";"1759169031.007316136";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=5.178184])";"30";"turtlesim3.sim";"1759169031.005697511";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=5.149759])";"30";"turtlesim2.sim";"1759169030.992112470";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=5.121334])";"30";"turtlesim1.sim";"1759169030.990189178";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=5.206609])";"30";"turtlesim3.sim";"1759169030.987733178";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=5.178184])";"30";"turtlesim2.sim";"1759169030.976091095";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=5.149759])";"30";"turtlesim1.sim";"1759169030.974142178";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=5.235034])";"30";"turtlesim3.sim";"1759169030.971551011";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=5.206609])";"30";"turtlesim2.sim";"1759169030.960080970";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=5.178184])";"30";"turtlesim1.sim";"1759169030.958274845";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=5.263459])";"30";"turtlesim3.sim";"1759169030.955492720";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=5.235034])";"30";"turtlesim2.sim";"1759169030.944180345";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=5.206609])";"30";"turtlesim1.sim";"1759169030.942182928";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=5.291884])";"30";"turtlesim3.sim";"1759169030.939123970";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=5.263459])";"30";"turtlesim2.sim";"1759169030.928682220";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=5.235034])";"30";"turtlesim1.sim";"1759169030.925269095";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=5.320309])";"30";"turtlesim3.sim";"1759169030.923218136";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=5.291884])";"30";"turtlesim2.sim";"1759169030.912101386";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=5.263459])";"30";"turtlesim1.sim";"1759169030.910242345";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=5.348734])";"30";"turtlesim3.sim";"1759169030.907262678";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=5.320309])";"30";"turtlesim2.sim";"1759169030.896070803";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=5.291884])";"30";"turtlesim1.sim";"1759169030.894035303";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=5.377159])";"30";"turtlesim3.sim";"1759169030.892265303";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=5.348734])";"30";"turtlesim2.sim";"1759169030.880456886";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=5.320309])";"30";"turtlesim1.sim";"1759169030.878063053";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=5.405584])";"30";"turtlesim3.sim";"1759169030.876064261";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=5.377159])";"30";"turtlesim2.sim";"1759169030.864114761";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=5.348734])";"30";"turtlesim1.sim";"1759169030.862068178";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=5.434009])";"30";"turtlesim3.sim";"1759169030.860927095";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=5.405584])";"30";"turtlesim2.sim";"1759169030.848694053";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=5.377159])";"30";"turtlesim1.sim";"1759169030.845111720";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=5.462434])";"30";"turtlesim3.sim";"1759169030.843351636";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=5.434009])";"30";"turtlesim2.sim";"1759169030.832101261";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=5.405584])";"30";"turtlesim1.sim";"1759169030.830081345";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=5.490859])";"30";"turtlesim3.sim";"1759169030.828136970";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=5.462434])";"30";"turtlesim2.sim";"1759169030.816102845";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=5.434009])";"30";"turtlesim1.sim";"1759169030.814035595";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=5.519284])";"30";"turtlesim3.sim";"1759169030.812286845";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=5.490859])";"30";"turtlesim2.sim";"1759169030.800094136";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=5.462434])";"30";"turtlesim1.sim";"1759169030.798280970";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=5.547709])";"30";"turtlesim3.sim";"1759169030.796275636";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=5.519284])";"30";"turtlesim2.sim";"1759169030.784071428";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=5.490859])";"30";"turtlesim1.sim";"1759169030.782232011";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=5.576134])";"30";"turtlesim3.sim";"1759169030.779683345";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=5.547709])";"30";"turtlesim2.sim";"1759169030.768695220";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=5.519284])";"30";"turtlesim1.sim";"1759169030.764635553";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=5.604559])";"30";"turtlesim3.sim";"1759169030.764195511";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=5.576134])";"30";"turtlesim2.sim";"1759169030.752181678";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=5.547709])";"30";"turtlesim1.sim";"1759169030.750038886";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=5.632984])";"30";"turtlesim3.sim";"1759169030.749644678";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=5.604559])";"30";"turtlesim2.sim";"1759169030.736196303";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=5.576134])";"30";"turtlesim1.sim";"1759169030.734231928";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=5.604559])";"30";"turtlesim1.sim";"1759169030.718097386";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=5.718260])";"30";"turtlesim3.sim";"1759169030.700243344";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=5.689835])";"30";"turtlesim2.sim";"1759169030.688122969";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=5.661410])";"30";"turtlesim1.sim";"1759169030.686166094";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=5.746685])";"30";"turtlesim3.sim";"1759169030.683308511";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=5.718260])";"30";"turtlesim2.sim";"1759169030.672484219";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=5.689835])";"30";"turtlesim1.sim";"1759169030.670050011";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=5.775110])";"30";"turtlesim3.sim";"1759169030.667331678";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=5.746685])";"30";"turtlesim2.sim";"1759169030.656080886";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=5.718260])";"30";"turtlesim1.sim";"1759169030.654192928";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=5.803535])";"30";"turtlesim3.sim";"1759169030.651265886";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=5.775110])";"30";"turtlesim2.sim";"1759169030.640318678";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.014698, y=5.746685])";"30";"turtlesim1.sim";"1759169030.638222761";"./src/turtle.cpp:update:260"
